,TruePower,AmbiTemp,Irradiance,ModuleTemp
2018-01-04 00:00:00,0.0,7.852131699888888,0.0,7.852131699888907
2018-01-04 03:00:00,0.0,10.5005531965,0.0,10.500553196500018
2018-01-04 06:00:00,2.4444444444444446,8.37011488288889,6.055555555555555,8.44846774500002
2018-01-04 09:00:00,122.83333333333333,8.784295595333333,354.72222222222223,10.068008749055572
2018-01-04 12:00:00,206.5,11.096465636277777,589.1666666666666,16.997471726111126
2018-01-04 15:00:00,137.22222222222223,11.696805014444443,390.0,13.333516740000022
2018-01-04 18:00:00,5.888888888888889,9.648048281611107,16.166666666666668,9.623457710388912
2018-01-04 21:00:00,0.0,8.1487677235,0.0,8.148767723500029
2018-01-05 00:00:00,0.0,8.911515910722223,0.0,8.911515910722251
2018-01-05 03:00:00,0.0,7.875414897944444,0.0,7.875414897944473
2018-01-05 06:00:00,2.2222222222222223,6.277586162222224,6.055555555555555,6.342933374333365
2018-01-05 09:00:00,121.77777777777777,6.588221696500002,354.5,7.927532646055586
2018-01-05 12:00:00,204.83333333333334,8.322349227333335,590.0555555555555,13.990511972777805
2018-01-05 15:00:00,138.16666666666666,8.77260376083334,391.5,10.266149569333361
2018-01-05 18:00:00,5.388888888888889,7.23603621127778,16.27777777777778,7.126422338555583
2018-01-05 21:00:00,0.0,6.111575792611114,0.0,6.1115757926111405
2018-01-06 00:00:00,0.0,8.773344147888892,0.0,8.773344147888917
2018-01-06 03:00:00,0.0,9.15198992288889,0.0,9.151989922888914
2018-01-06 06:00:00,2.0,6.473043600388888,5.611111111111111,6.469243538388913
2018-01-06 09:00:00,125.27777777777777,6.97140905472222,353.55555555555554,8.082582143833356
2018-01-06 12:00:00,211.55555555555554,9.86588426883333,591.0,15.470044549444465
2018-01-06 15:00:00,132.77777777777777,10.61929706333333,393.77777777777777,12.176776523500026
2018-01-06 18:00:00,6.166666666666667,8.050651465666663,17.11111111111111,8.148965334722245
2018-01-06 21:00:00,0.0,6.18637246894444,0.0,6.186372468944466
2018-01-07 00:00:00,0.0,10.011086404999993,0.0,10.01108640500002
2018-01-07 03:00:00,0.0,11.151989923499997,0.0,11.151989923500022
2018-01-07 06:00:00,1.9444444444444444,8.47304360038889,5.611111111111111,8.492140319666692
2018-01-07 09:00:00,123.44444444444444,8.971409055055556,353.22222222222223,10.097513274777802
2018-01-07 12:00:00,211.77777777777777,11.865884269444447,591.8888888888889,17.470756996111135
2018-01-07 15:00:00,136.22222222222223,12.619297063333338,396.5,14.239507925555579
2018-01-07 18:00:00,5.944444444444445,10.050651466611113,17.944444444444443,10.110631724944469
2018-01-07 21:00:00,0.0,8.186372468944448,0.0,8.186372468944473
2018-01-08 00:00:00,0.0,8.456662286166669,0.0,8.456662286166695
2018-01-08 03:00:00,0.0,4.673581860888894,0.0,4.67358186088892
2018-01-08 06:00:00,2.7777777777777777,-0.1485215192777725,5.611111111111111,-0.08143147055552499
2018-01-08 09:00:00,142.0,0.7485362986666719,353.6666666666667,1.9254036641666974
2018-01-08 12:00:00,204.11111111111111,5.958591684277781,592.9444444444445,11.479044798000029
2018-01-08 15:00:00,135.5,7.314734714277782,398.6111111111111,9.049451646444474
2018-01-08 18:00:00,7.055555555555555,2.6911726382222274,18.72222222222222,2.6740259836111395
2018-01-08 21:00:00,0.0,-0.6645295557777724,0.0,-0.6645295557777495
2018-01-09 00:00:00,0.0,3.9335615583333388,0.0,3.9335615583333614
2018-01-09 03:00:00,0.0,4.04318387622223,0.0,4.043183876222252
2018-01-09 06:00:00,2.1666666666666665,-0.2431302392222149,5.611111111111111,-0.16207250077774835
2018-01-09 09:00:00,144.5,0.5542544877222295,353.55555555555554,1.869981168388918
2018-01-09 12:00:00,203.27777777777777,5.185414830500009,593.6666666666666,10.765001267666698
2018-01-09 15:00:00,137.66666666666666,6.39087530172223,401.55555555555554,8.11423150572225
2018-01-09 18:00:00,6.666666666666667,2.2810423450555626,19.61111111111111,2.3711674590000253
2018-01-09 21:00:00,0.0,-0.7018040496111037,0.0,-0.7018040496110856
2018-01-10 00:00:00,0.0,3.8449503071666737,0.0,3.844950307166692
2018-01-10 03:00:00,0.0,4.78238790722223,0.0,4.782387907222248
2018-01-10 06:00:00,2.5555555555555554,1.5676523205000086,5.611111111111111,1.5580216021666942
2018-01-10 09:00:00,138.22222222222223,2.165690865888897,354.1111111111111,3.595674166500027
2018-01-10 12:00:00,205.5,5.6390611229444545,594.6666666666666,11.005670850166695
2018-01-10 15:00:00,141.5,6.543156476388898,403.6111111111111,8.117121721388918
2018-01-10 18:00:00,7.833333333333333,3.4607817589444547,20.38888888888889,3.454338349722252
2018-01-10 21:00:00,0.0,1.223646962777788,0.0,1.2236469627778073
2018-01-11 00:00:00,0.0,4.622190168222233,0.0,4.622190168222252
2018-01-11 03:00:00,0.0,5.1256914963889,0.0,5.12569149638892
2018-01-11 06:00:00,2.611111111111111,2.4626436036111223,6.055555555555555,2.487505996888919
2018-01-11 09:00:00,131.66666666666666,2.9803694942222334,356.6666666666667,4.23008463361114
2018-01-11 12:00:00,209.83333333333334,5.870582045722234,596.6666666666666,11.684520069722248
2018-01-11 15:00:00,139.16666666666666,6.621006268055567,404.6666666666667,8.18093014266669
2018-01-11 18:00:00,7.277777777777778,4.060060352166676,20.38888888888889,4.063952306333354
2018-01-11 21:00:00,0.0,2.185959654277788,0.0,2.185959654277798
2018-01-12 00:00:00,0.0,6.423457768666677,0.0,6.423457768666688
2018-01-12 03:00:00,0.0,6.251382993222233,0.0,6.251382993222243
