,TruePower(+3),TruePower(+6),TruePower(+9),TruePower(+12),TruePower(+15),TruePower(+18),TruePower(+21),TruePower(+24),TruePower(+27),TruePower(+30),TruePower(+33),TruePower(+36),TruePower(+39),TruePower(+42),TruePower(+45),TruePower(+48),TruePower(+51),TruePower(+54),TruePower(+57),TruePower(+60),TruePower(+63),TruePower(+66),TruePower(+69),TruePower(+72)
2018-01-04 00:00:00,0.0,2.4444444444444446,122.83333333333333,206.5,137.22222222222223,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0
2018-01-04 03:00:00,2.4444444444444446,122.83333333333333,206.5,137.22222222222223,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0
2018-01-04 06:00:00,122.83333333333333,206.5,137.22222222222223,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444
2018-01-04 09:00:00,206.5,137.22222222222223,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444
2018-01-04 12:00:00,137.22222222222223,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777
2018-01-04 15:00:00,5.888888888888889,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223
2018-01-04 18:00:00,0.0,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445
2018-01-04 21:00:00,0.0,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0
2018-01-05 00:00:00,0.0,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0
2018-01-05 03:00:00,2.2222222222222223,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0
2018-01-05 06:00:00,121.77777777777777,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777
2018-01-05 09:00:00,204.83333333333334,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0
2018-01-05 12:00:00,138.16666666666666,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111
2018-01-05 15:00:00,5.388888888888889,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5
2018-01-05 18:00:00,0.0,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555
2018-01-05 21:00:00,0.0,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0
2018-01-06 00:00:00,0.0,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0,0.0
2018-01-06 03:00:00,2.0,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0,0.0,0.0
2018-01-06 06:00:00,125.27777777777777,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0,0.0,0.0,2.1666666666666665
2018-01-06 09:00:00,211.55555555555554,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0,0.0,0.0,2.1666666666666665,144.5
2018-01-06 12:00:00,132.77777777777777,6.166666666666667,0.0,0.0,0.0,1.9444444444444444,123.44444444444444,211.77777777777777,136.22222222222223,5.944444444444445,0.0,0.0,0.0,2.7777777777777777,142.0,204.11111111111111,135.5,7.055555555555555,0.0,0.0,0.0,2.1666666666666665,144.5,203.27777777777777
